District,Murder,"Hurt 
Dausa,41,129,65,169,141,1094,895,122,563,565,318,0
Dholpur,48,1111,143,141,103,0,560,63,239,239,193,0
Dungarpur,38,484,122,251,101,0,129,37,131,131,265,254
GRP Ajmer,2,47,9,3,2,0,575,0,1,1,0,0
GRP Jodhpur,0,7,1,1,1,0,141,0,0,0,2,0
Ganganagar,67,1303,264,216,193,0,512,216,839,841,170,98
Hanumangarh,61,958,207,105,198,0,329,194,578,579,113,0
Jaipur East,32,696,215,165,125,309,2491,266,1085,1088,543,42
Jaipur North,14,279,97,112,87,19,1124,114,676,676,145,0
Jaipur Rural,51,403,170,158,159,253,1166,186,842,843,604,2
Jaipur South,30,359,140,133,128,0,2309,238,1026,1026,396,0
Jaipur West,42,520,134,203,162,15,1936,191,1365,1368,499,0
Jaisalmer,14,550,120,38,20,0,197,73,138,138,52,0
Jalore,38,1280,283,121,93,0,361,253,233,236,155,0
Jhalawar,47,1110,250,223,162,291,605,86,194,196,270,71
Jhunjhunu,53,1798,126,184,135,0,607,179,814,814,344,0
Jodhpur East,20,451,206,74,73,0,814,127,521,521,179,0
Jodhpur West,24,501,188,88,88,0,1079,179,430,432,190,24
Jodhpur Rural,38,880,178,93,114,0,516,212,308,308,172,367
Karauli,52,50,161,184,138,187,658,69,373,374,125,0
Kota City,27,823,246,165,168,1,1097,97,819,822,300,37
Kota Rural,29,264,227,116,98,35,363,79,179,179,182,0
Nagaur,53,1445,290,217,183,0,836,243,641,646,257,66
Pali,43,147,328,260,174,0,657,245,666,670,177,0
Pratapgarh,35,500,222,179,215,4,196,88,118,118,125,64
Rajsamand,28,746,174,169,101,168,435,172,287,289,297,187
Sawai Madhopur,39,193,237,146,117,0,629,68,386,388,161,0
Sikar,53,468,201,265,197,0,1181,166,1143,1146,490,0
Sirohi,41,480,173,97,113,0,375,126,224,225,150,0
Tonk,26,1204,117,158,90,64,503,146,327,327,235,4
Udaipur,93,1768,430,465,326,221,1024,330,702,705,744,145
Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0
SCRB,0,0,0,0,0,0,0,0,0,0,0,0
SOG,0,0,0,0,0,0,0,0,29,30,0,0
SSB,0,0,0,0,0,0,0,0,0,0,0,0
Jaipur Crime,0,0,0,0,0,0,0,0,15,15,0,0
Bhiwadi,56,1708,193,245,209,134,1431,159,1129,1129,327,272
East,8,32,11,29,4,0,24,33,43,43,70,2
North,1,0,0,2,0,0,0,0,0,0,4,0
South,2,20,4,4,2,0,7,7,6,6,28,4
West,3,16,1,4,2,0,1,3,8,8,21,1
CID,0,0,1,0,0,0,0,0,11,11,0,0
Ariyalur,18,540,8,7,14,59,77,53,23,23,384,5
Chennai,161,2947,146,71,45,1270,4054,714,811,817,4059,66
Coimbatore,56,561,8,4,8,70,208,195,63,65,1333,2
Coimbatore City,30,942,10,11,12,299,554,176,176,179,634,0
Cuddalore,46,3246,23,83,27,119,252,157,77,77,2402,0
Dharmapuri,28,618,18,20,6,0,110,54,29,29,932,0
Dindigul,47,1937,40,12,5,373,260,133,71,73,1238,43
Erode,44,782,12,10,5,0,297,104,37,38,1358,9
Kanchipuram,30,217,4,2,6,10,167,109,34,35,677,3
Kanyakumari,28,1180,32,38,9,1,421,185,106,113,918,17
Karur,22,238,7,11,3,268,128,69,30,30,718,2
Krishnagiri,66,616,11,21,7,0,169,109,25,29,1191,10
Madurai,67,637,30,12,13,0,386,183,100,101,1136,98
Madurai City,35,409,22,10,9,0,484,127,216,216,466,115
Nagapattinam,46,738,54,19,16,0,145,82,36,36,804,0
Namakkal,41,611,31,12,4,0,118,81,45,45,1321,0
Nilgiris,15,150,9,1,5,0,48,44,13,14,178,0
Perambalur,20,127,19,3,2,642,129,83,11,11,347,2
Pudukottai,30,1278,57,8,8,465,282,102,33,34,1009,16
Ramnathapuram,56,1547,23,22,8,82,227,167,80,83,789,0
Railway Chennai,3,34,4,1,1,0,1119,0,5,5,0,0
Railway Trichy,0,20,0,0,0,0,150,0,0,0,0,0
Salem,51,1407,71,43,8,0,160,103,40,41,1363,0
Salem City,25,358,17,79,3,19,302,65,44,45,537,1
Sivagangai,42,1301,21,5,13,5,185,90,86,86,641,0
Thanjavur,57,1907,88,22,13,770,289,175,114,128,1433,7
Theni,36,1054,27,4,7,93,136,89,80,81,734,49
Thirunelveli,54,1548,25,10,7,30,215,145,34,34,622,19
Thirunelveli City,9,159,14,3,1,3,154,41,38,39,317,7
Thiruvallur,38,836,13,3,15,0,148,123,141,141,956,51
Thiruvannamalai,36,570,12,19,21,60,179,82,55,55,945,2
Thiruvarur,28,649,22,24,10,0,81,68,17,18,459,0
Thoothukudi,50,1316,36,20,15,190,315,172,103,103,882,17
Tiruppur,41,670,8,11,5,54,253,126,31,32,1437,19
Tiruppur City,20,366,3,2,2,67,156,70,29,29,498,13
Trichy,46,597,31,22,16,51,331,165,64,64,1056,18
Trichy City,17,572,12,7,4,0,254,64,53,53,273,0
Vellore,26,294,9,17,2,148,157,61,37,40,581,7
Villupuram,25,1188,17,45,19,15,242,122,138,138,1628,152
Virudhunagar,46,780,15,5,18,0,195,94,91,92,863,36
Cyber Cell,0,0,0,0,0,0,0,0,4,4,0,0
Other Units,0,0,0,0,0,0,0,0,0,0,0,0
Chengalpattu,27,949,15,4,8,0,155,78,2,4,1162,0
Kallakurichi,29,488,7,46,15,171,114,70,25,26,815,0
Ranipet,23,211,13,4,1,6,149,40,50,50,594,0
Tiruppattur,23,410,11,44,3,71,133,55,31,34,491,5
Tenkasi,48,1202,22,4,3,434,186,132,58,58,754,7
Cyberabad Commissionerate,136,2209,551,554,123,0,3922,897,6119,6121,3596,1428
Hyderabad Commissionerate,98,1819,420,513,116,5,2419,369,4673,4679,1983,334
Karimnagar Commissionerate,12,638,137,43,24,0,117,87,361,361,392,443
Khammam Commissionerate,21,906,154,126,29,40,286,242,330,330,529,364
Nizamabad Commissionerate,50,867,82,30,7,0,479,185,269,269,345,277
Rachakonda Commissionerate,88,1972,667,322,156,0,1946,763,2851,2852,1989,1236
Ramagundam Commissionerate,32,1069,214,78,41,1,370,190,659,660,504,587
Siddipet Commissionerate,18,862,154,43,15,0,572,187,231,231,510,666
Warangal Commissionerate,53,1694,221,183,45,0,468,199,741,742,749,0
Adilabad,14,302,51,23,10,1,73,52,99,99,122,54
Bhadradri Kothagudem,18,696,150,100,29,56,209,156,211,211,237,365
Jagityal,29,762,173,53,24,5,166,121,344,344,202,0
Jayashankar Bhupalpalli,14,313,70,33,2,0,32,24,97,97,110,77
Jogulamba Gadwal,20,345,49,30,5,0,279,54,237,237,85,126
Kamareddy ,42,845,79,14,25,0,312,181,232,233,296,294
Kumaram Bheem Asifabad,18,239,49,38,8,0,65,27,267,268,91,12
Mahabubabad,21,518,141,63,6,0,65,66,179,179,145,172
Mahabubnagar,28,512,101,93,9,0,183,114,149,149,242,22
Medak,36,503,71,29,3,0,201,124,140,140,200,201
Nagarkurnool,25,625,97,37,7,0,107,58,146,146,182,194
Nalgonda,54,725,181,71,22,0,190,129,488,488,352,541
Nirmal,15,395,49,33,7,0,92,75,71,71,149,85
Rajanna Siricilla,14,458,88,24,10,0,86,54,180,181,94,0
Sangareddy,75,641,65,23,20,0,340,203,264,266,366,0
Suryapet,30,986,204,63,36,2,244,87,354,354,258,51
Vikarabad,35,536,74,58,12,0,128,108,122,122,250,163
Wanaparthy,9,343,27,11,8,0,155,34,90,90,134,33
Railway Police Secunderabad,1,1,8,0,0,0,434,0,5,5,0,0
Mulug,6,180,19,36,10,0,28,19,56,56,69,63
Narayanpet,14,239,19,36,14,0,49,26,100,100,54,98
Dhalai,18,103,7,14,3,0,17,9,12,12,20,14
Gomati,14,146,13,12,11,0,44,8,9,9,41,0
GRP,1,3,0,0,0,0,2,1,0,0,1,0
Kowai,11,160,3,20,8,0,27,17,15,15,28,0
North,13,102,9,16,5,0,35,23,16,16,25,0
Sipahijala,16,167,4,13,2,0,28,12,16,17,42,7
South,9,92,9,10,1,0,20,13,12,12,23,7
Unakoti,15,137,14,18,10,0,17,8,23,23,18,0
West,25,316,35,33,21,1,171,53,88,89,100,12
Agra,102,2148,323,235,99,0,1917,306,526,530,421,187
Aligarh,109,690,400,623,57,0,1098,157,368,368,491,50
Prayagraj,113,863,326,297,96,0,1349,405,334,336,908,0
Ambedkar Nagar,32,444,79,107,11,2,219,55,90,90,106,221
Amethi,32,2415,46,58,29,0,212,55,84,84,99,0
Amroha,37,107,66,50,40,0,343,30,36,37,0,0
Auraiya,32,264,96,120,23,0,203,46,113,113,304,328
Azamgarh,41,434,146,255,39,0,396,111,127,127,226,0
Badaun,62,841,105,158,33,0,282,44,53,53,210,45
Baghpat,54,247,53,258,25,0,334,38,113,113,112,0
Bahraich,35,1776,165,385,32,0,410,130,220,221,260,134
Ballia,42,389,72,163,24,10,268,42,147,147,116,43
Balrampur,17,152,57,141,24,0,80,28,94,94,67,7
Banda,51,777,109,132,31,0,186,72,48,50,268,25
Barabanki,65,277,106,168,41,0,192,60,113,114,298,1420
Bareilly,71,469,238,381,22,0,892,147,336,338,606,0
Basti,28,112,86,133,61,0,163,73,91,91,130,0
Bijnor,38,668,79,15,29,0,357,35,140,140,567,0
Bulandshahar,69,2868,168,117,53,0,1062,138,337,341,455,9
Chandoli,24,236,49,39,17,1,174,51,44,44,68,44
Chitrakoot,9,218,60,25,30,0,83,37,21,21,109,29
Deoria,20,759,10,24,6,0,99,38,104,104,830,0
Etah,27,2356,106,68,10,0,265,30,155,155,0,84
Etawah,59,603,66,112,23,0,377,39,146,146,295,212
Ayodhya,52,173,142,305,46,2,424,56,324,325,210,245
Fatehgarh,53,212,32,110,30,0,167,47,115,115,327,0
Fatehpur,37,522,151,136,33,0,251,92,76,76,255,54
Firozabad,98,397,238,407,107,0,846,113,258,259,373,345
GRP,13,18,41,21,5,0,2903,0,16,16,0,0
Gautambudh Nagar,80,142,112,426,46,0,2136,145,404,407,424,0
Ghaziabad,80,4724,162,118,61,0,4133,239,526,528,526,271
Ghazipur,48,367,229,125,21,5,348,87,119,121,112,259
Gonda,19,510,48,133,20,0,134,34,86,87,377,0
Gorakhpur,144,417,270,464,100,0,902,185,346,348,479,0
Hamirpur,24,497,73,47,15,0,112,57,37,37,159,0
Hapur,51,947,142,490,28,0,514,5,164,166,131,0
Hardoi,66,2804,199,186,65,0,257,108,171,171,450,0
Hathras,28,456,155,161,34,0,381,43,40,40,142,4
Jalaun,29,117,60,93,17,0,186,40,76,76,145,14
Jaunpur,48,2294,67,135,32,0,434,84,97,98,207,22
Jhansi,35,546,93,92,35,0,216,35,75,76,387,289
Kannauj,49,39,160,255,52,0,183,31,76,76,226,0
Kanpur Dehat,41,469,87,178,12,0,157,38,126,126,330,160
Kanpur Commissionarate,48,66,134,152,35,0,691,108,296,299,516,41
Kasganj,55,93,206,220,35,0,203,44,62,62,154,0
Kaushambi,34,86,58,130,10,0,213,67,43,43,170,0
Khiri,62,402,106,284,36,0,284,55,145,145,181,0
Kushi Nagar,33,1238,120,315,12,0,272,80,58,58,432,136
Lalitpur,17,223,47,21,11,0,65,24,27,27,111,84
Lucknow Commissionarate,101,1182,332,773,97,3,1932,455,1914,1914,831,313
Maharajganj,21,156,17,43,11,0,160,48,46,46,208,34
Mahoba,19,294,64,51,18,0,82,33,32,32,118,0
Mainpuri,61,867,96,239,52,0,372,57,105,105,300,0
Mathura,82,345,386,246,77,0,1770,180,266,266,435,0
Mau,21,1392,64,145,40,0,254,44,141,141,147,0
Meerut,113,755,156,442,103,1,2190,154,277,279,496,758
Mirzapur,25,206,31,56,12,0,145,39,40,40,136,8
Moradabad,50,2237,274,267,51,0,979,77,241,242,94,0
Muzaffarnagar,61,1757,25,39,33,0,411,49,67,68,210,0
Pilibhit,41,1255,101,335,59,0,168,60,196,196,252,10
Pratapgarh,69,3302,137,267,48,0,470,127,160,160,835,0
Raibareilly,39,3106,91,260,33,0,291,117,101,101,189,0
Rampur,32,786,50,169,74,0,249,40,106,106,181,98
Saharanpur,34,325,131,118,37,0,360,45,378,380,383,232
Sambhal,48,690,90,125,45,0,328,33,104,104,116,176
Sant Kabirnagar,14,244,90,94,37,0,66,24,35,36,99,0
Shahjahanpur,61,1026,176,141,9,0,123,26,259,260,410,76
Shamli,35,238,116,62,25,0,258,46,99,99,92,0
Shrawasti,22,220,73,114,12,0,50,15,101,101,40,5
Sidharthnagar,15,12,63,110,22,0,101,18,61,61,77,0
Sitapur,71,3740,60,214,9,0,278,61,155,155,214,0
Sonbhadra,31,731,28,75,26,0,192,41,67,68,0,3
Bhadohi,17,263,39,107,17,0,151,41,66,66,0,0
Sultanpur,58,2937,138,301,39,0,470,126,194,194,227,499
Unnao,44,2457,112,279,27,0,324,93,95,96,341,3
Varanasi Commissionarate,26,2089,87,91,52,9,912,171,776,776,115,34
Lucknow Grameen,22,218,44,100,1,0,30,33,29,29,0,0
Kanpur Outer,40,100,135,134,9,0,193,40,38,38,341,19
Vasanasi Dehat,31,1816,44,89,17,0,262,86,173,173,132,8
Almora,7,9,14,4,13,0,17,6,27,27,0,0
Bageshwar,6,0,15,1,2,0,9,4,0,0,0,0
Chamoli,5,3,3,0,1,0,11,8,21,21,0,2
Champawat,3,48,2,19,3,0,10,7,13,14,7,0
Dehradun,33,414,73,179,62,0,445,134,578,579,213,82
Haridwar,73,120,181,192,113,0,839,142,292,294,148,8
Nainital,18,432,115,125,75,0,206,64,126,127,102,0
Pauri Garhwal,6,7,16,39,14,0,40,4,34,34,17,0
Pithoragarh,5,23,19,20,8,0,12,6,39,39,11,8
Rudra Prayag,1,3,1,14,0,0,5,2,13,13,2,0
Tehri Garhwal,9,7,20,28,6,0,17,5,20,20,0,0
Udhamsingh Nagar,38,20,179,175,222,0,508,116,271,271,0,0
Uttarkashi,3,2,16,21,15,0,13,10,27,27,8,0
GRP,1,1,1,2,0,0,63,0,2,2,0,0
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0
Alipurduar,35,470,40,154,41,3,159,1,68,69,154,56
Asansol-Durgapur PC,56,192,23,114,19,0,307,9,397,398,110,0
Bankura,60,549,51,97,17,3,102,3,81,81,97,108
Barrackpur PC,77,1138,622,266,18,14,672,7,1085,1088,169,0
Bidhannagar PC,17,120,71,63,12,0,209,0,661,662,118,0
Birbhum,81,841,33,114,25,84,207,4,148,149,241,19
Coochbehar,70,286,45,445,76,122,214,0,99,103,121,0
Dakshin Dinajpur,40,761,20,319,21,1,117,0,60,60,140,29
Darjeeling,20,125,69,64,8,8,123,0,75,76,90,0
Hooghly Rural Police,56,94,20,156,23,0,272,1,229,229,130,0
Howrah GRP,6,0,2,2,0,3,152,0,2,4,0,0
Howrah PC,44,303,40,229,16,4,289,3,243,244,192,0
Howrah Rural,59,836,24,186,20,8,102,15,127,127,92,0
Jalpaiguri,50,147,23,180,28,0,255,1,137,137,232,0
Jhargram,27,138,24,84,6,0,70,0,31,31,33,0
Kharagpur GRP,1,2,1,1,0,1,144,0,3,3,0,0
Kolkata,45,4512,250,346,11,16,1246,8,1879,1882,1222,0
Malda,105,1968,75,471,137,23,445,3,195,225,243,0
Murshidabad Police District,116,2862,90,443,134,0,211,0,208,215,130,0
Paschim Medinipur,110,1390,291,727,43,134,743,7,78,78,272,0
Purab Medinipur,71,81,49,700,54,40,331,7,95,95,312,41
Purulia,51,785,34,49,10,0,100,3,34,34,44,0
Sealdah GRP,17,18,1,4,0,2,106,0,5,5,4,0
Siliguri GRP,4,0,3,3,0,0,78,0,0,0,0,0
Siliguri PC,34,720,63,287,15,2,467,0,528,528,150,235
Baruipur Police,83,762,30,348,62,0,327,11,529,530,109,0
Chandannagar PC,16,52,19,57,9,0,107,1,219,219,76,0
Diamond Harbour Police,44,708,43,155,18,0,150,0,108,109,162,0
Kalimpong,9,24,8,28,3,5,35,0,16,16,15,0
Purba Bardhaman,98,627,86,277,45,0,199,0,322,324,506,0
Sundarban Police,41,843,38,218,26,7,124,4,147,147,133,0
Barasat,52,1356,70,173,19,0,253,0,237,237,166,0
Basirhat,39,849,24,399,26,0,100,0,114,114,37,0
Bangaon,20,781,80,152,36,0,106,0,210,212,0,0
Islampur,39,393,4,93,22,8,132,0,21,22,95,238
Jangipur Police District,42,441,26,132,10,0,108,0,57,68,46,0
Krishnagar,76,847,45,417,69,0,199,0,238,247,127,0
Raiganj,35,727,10,164,23,3,165,1,98,98,129,178
Ranaghat,38,146,38,222,21,0,106,1,120,120,57,0
South Andaman,12,43,19,6,12,0,15,11,21,21,77,0
North & Middle Andaman,4,12,11,1,3,0,4,4,5,5,17,0
Nicobar,0,2,2,0,0,0,1,0,1,1,2,0
Chandigarh,17,106,37,154,74,0,757,93,167,168,128,10
D&N Haveli,11,22,4,18,2,0,30,32,17,17,50,4
Daman,3,5,2,28,1,0,30,12,14,14,12,1
Diu,0,2,1,2,0,0,4,2,0,0,6,0
Central,20,354,180,229,103,0,8873,195,239,240,199,10
Crime Branch,0,0,1,1,0,0,2,0,88,88,0,0
East,21,399,136,318,85,0,15389,134,203,203,227,6
EOW,0,0,0,0,0,0,0,0,169,169,0,0
IGI Airport,1,1,6,0,1,0,220,0,121,121,24,16
Metro,0,3,9,0,0,0,2416,4,15,15,1,0
New Delhi,2,33,27,33,12,0,1523,20,228,252,118,9
North,24,274,115,346,51,0,14358,317,302,302,283,11
North-East,41,607,111,536,87,0,19183,113,148,148,288,6
North-West,35,394,124,338,97,0,19211,171,191,192,212,1
Outer,46,444,115,554,80,0,14891,217,238,238,244,6
RAILWAY,2,2,1,10,0,0,2249,0,6,7,1,0
South,36,286,125,334,99,0,12127,217,346,346,265,10
South-East,32,445,233,479,130,0,14384,251,506,506,394,15
South-West,17,196,122,317,101,0,9510,130,273,273,313,13
Spl Cell,0,0,8,0,0,0,0,0,117,122,0,0
SPUWAC,0,0,0,0,0,0,0,0,0,0,0,0
Vigilance,0,0,0,0,0,0,0,0,0,0,0,0
West,29,288,144,323,84,0,16224,160,394,394,282,14
Rohini,46,261,128,354,74,0,13086,179,245,245,159,15
Shahdara,12,329,115,211,54,0,11483,216,267,270,145,11
Dwarka,43,559,280,472,133,0,15847,128,494,495,359,46
Outer North,52,403,88,672,59,0,9005,185,241,241,256,21
Kargil,4,5,2,1,1,0,4,3,8,8,92,0
Leh,1,28,3,3,1,0,6,8,13,13,95,2
Lakshadweep,1,17,1,0,0,6,7,0,1,1,1,2
